'abe6907,Christian Nassif-Haynes,6/06/2016,Properly fixed HE-13 895925f610b4cf617fe448a02cae1f20866f873f',
'a39875b,Christian Nassif-Haynes,6/06/2016,HE-14 - Create Locus/Locus Type/Natural',
'9f52bf9,Christian Nassif-Haynes,6/06/2016,Fixed HE-13 895925f610b4cf617fe448a02cae1f20866f873f',
'895925f,Christian Nassif-Haynes,6/06/2016,HE-13 - Locus Type changes: Feature Part',
'cc5b3a6,Christian Nassif-Haynes,1/06/2016,Fixed warning text',
'ce9924f,Christian Nassif-Haynes,1/06/2016,Generated with latest autogen',
'fd50cf1,Christian Nassif-Haynes,1/06/2016,Fixed race condition',
'1778570,Christian Nassif-Haynes,1/06/2016,Added files and made an arch16n change',
'ddafdc2,Christian Nassif-Haynes,1/06/2016,Prototype complete',
'b6eb4ab,Christian Nassif-Haynes,30/05/2016,"Changes as per Petra's email: ""Harvard Prototype comments""'",
'3b5295e,Christian Nassif-Haynes,27/05/2016,Prototype completed',
'2d26960,Christian Nassif-Haynes,27/05/2016,I should really start providing better commit messages...',
'df5aa81,Christian Nassif-Haynes,25/05/2016,misc',
'7eccd87,Christian Nassif-Haynes,25/05/2016,Misc',
'3dc042f,Christian Nassif-Haynes,25/05/2016,Misc',
'3311b86,Christian Nassif-Haynes,24/05/2016,Misc',
'a2219de,Christian Nassif-Haynes,20/05/2016,Misc',
'0e341e7,Christian Nassif-Haynes,20/05/2016,asdf',
'aae0376,Christian Nassif-Haynes,20/05/2016,All the properties/attributes are there along with the GUI elements...',
'fd1fc3f,Christian Nassif-Haynes,18/05/2016,Relationship stuff',
'16b40f2,Christian Nassif-Haynes,18/05/2016,Data schema transforms are complete. GUI requires a lot of tweaking',
'556fa22,Christian Nassif-Haynes,17/05/2016,<useles commit message>',
'3757b69,Christian Nassif-Haynes,17/05/2016,More stuff...',
'39d95f4,Christian Nassif-Haynes,17/05/2016,The result of some transforms on Bon's data schema',
'39c3448,Christian Nassif-Haynes,6/05/2016,Initial commit',
